time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1.0,idle,20.0,22.7,,,0.0,0.0,0.0,0.0,22.7,20.0,20.0,20.0,20.0,1,1.7824834901764852,idle,1.7824834901764852,0.0,False,1
2.0,idle,20.0,22.4,,,0.0,0.0,0.0,0.0,22.4,20.0,20.0,20.0,20.0,1,2.5212852586021626,idle,2.5212852586021626,0.0,False,1
3.0,idle,20.0,22.0,,,0.0,0.0,0.0,0.0,22.0,20.0,20.0,20.0,20.0,1,3.331943948010594,idle,3.331943948010594,0.0,False,1
4.0,idle,20.0,21.9,,,0.0,0.0,0.0,0.0,21.9,20.0,20.0,20.0,20.0,1,4.1720667484792315,idle,4.1720667484792315,0.0,False,1
5.0,idle,20.0,21.8,,,0.0,0.0,0.0,0.0,21.8,20.0,20.0,20.0,20.0,1,4.9950916568913035,idle,4.9950916568913035,0.0,False,1
6.0,idle,20.0,22.7,,,0.0,0.0,0.0,0.0,22.7,20.0,20.0,20.0,20.0,1,5.755184803624924,idle,5.755184803624924,0.0,False,1
7.0,charge,20.010985042571228,24.7,20.010985042571235,20.02379708150312,16.49264084325404,0.0,378.5085000002512,0.0,24.7,21.852619217381573,20.112158064129915,20.000778857964576,20.00000054668874,2,6.413679355232319,charge,6.413679355232319,0.0,False,2
8.0,charge,20.05555287644669,25.7,20.05555287644671,20.09941539802776,81.67715554372002,0.0,803.500500000077,0.0,25.7,25.802820798646735,20.395938334917844,20.004587990391485,20.000005745656495,2,6.396177692128207,charge,6.396177692128207,0.0,False,2
9.0,charge,20.137355044986133,26.8,20.137355044986123,20.224357047135754,196.51335894451552,0.0,1224.0654999998496,0.0,26.8,31.084869276880568,20.81499766878028,20.01367641562223,20.000024943962387,2,6.312595095876847,charge,6.312595095876847,0.0,False,2
10.0,charge,20.245279321881743,27.7,20.245279321881753,20.379191421860412,341.09711620799095,0.0,1591.506500001185,0.0,27.7,36.78712880389145,21.298045213009573,20.029347649030285,20.00007149321692,2,6.113509851285959,charge,6.113509851285959,0.0,False,2
11.0,charge,20.364085832713076,28.3,20.3640858327131,20.54195374806295,492.1590327366673,0.0,1865.9805000008812,0.0,28.3,42.14121896675982,21.77642114961219,20.051821429455345,20.00016039237113,2,5.769528496448757,charge,5.769528496448757,0.0,False,2
12.0,charge,20.478864721180972,28.4,20.47886472118097,20.692166462193427,629.1597328863612,0.0,2020.925500001129,0.0,28.4,46.45986873477972,22.18860412866684,20.080366074881624,20.000306015444778,2,5.274531407242361,charge,5.274531407242361,0.0,False,2
13.0,charge,20.57794213537873,28.4,20.57794213537875,20.81624754060806,737.7487579129528,0.0,2047.48750000061,0.0,28.4,49.56541088989485,22.505286422461836,20.113593369172747,20.000520253905677,2,4.6428680620599385,charge,4.6428680620599385,0.0,False,2
14.0,charge,20.65439707674118,28.2,20.65439707674119,20.905559627270804,811.1147044635334,0.0,1943.4530000010448,0.0,28.2,51.15977747927508,22.702152889782212,20.149809021286217,20.000811539520043,2,3.903086459966267,charge,3.903086459966267,0.0,False,2
15.0,charge,20.701416123423893,28.3,20.701416123423883,20.951549712814995,842.2486134161372,0.0,1719.8895000008415,0.0,28.3,51.039611790124354,22.757909099403946,20.187005695772427,20.001184158735498,2,3.090702709713115,charge,3.090702709713115,0.0,False,2
